2024-02-18 22:56:16.533 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.config.MappingConfigReader - [client:400207]parse mapping config information
2024-02-18 22:56:16.535 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.manager.U2CatalogManager - [client:400202]start a schedule task to get global/local catalog for objects, its period 5s 
2024-02-18 22:56:16.536 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.manager.U2CatalogManager - [client:400203]cache file auto update thread launch in refs account
2024-02-18 22:56:16.537 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.config.DirsConfigReader - [client:400206]parse dir config information
2024-02-18 22:56:16.538 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.config.MappingConfigReader - [client:400207]parse mapping config information
2024-02-18 22:56:16.540 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.manager.U2CatalogManager - [client:400202]start a schedule task to get global/local catalog for refs, its period 5s 
2024-02-18 22:56:16.542 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.manager.U2CatalogManager - [client:400203]cache file auto update thread launch in remotes account
2024-02-18 22:56:16.543 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.config.DirsConfigReader - [client:400206]parse dir config information
2024-02-18 22:56:16.544 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.config.MappingConfigReader - [client:400207]parse mapping config information
2024-02-18 22:56:16.545 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.manager.U2CatalogManager - [client:400202]start a schedule task to get global/local catalog for remotes, its period 5s 
2024-02-18 22:56:16.548 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.manager.U2CatalogManager - [client:400203]cache file auto update thread launch in App-Store account
2024-02-18 22:56:16.549 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.config.DirsConfigReader - [client:400206]parse dir config information
2024-02-18 22:56:16.550 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.config.MappingConfigReader - [client:400207]parse mapping config information
2024-02-18 22:56:16.552 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.manager.U2CatalogManager - [client:400202]start a schedule task to get global/local catalog for App-Store, its period 5s 
2024-02-18 22:56:16.560 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.account.handler.ServerAccountHandler - [client:40010104]load server account: Account{name=refs, path=C:/Users/hp/Desktop/Revision/REACT/.git/logs/refs, type=PREDICT}
Account{name=.git, path=C:/Users/hp/Desktop/Revision/REACT/.git, type=PREDICT}
Account{name=remotes, path=C:/Users/hp/Desktop/Revision/REACT/.git/refs/remotes, type=PREDICT}
Account{name=REACT, path=C:/Users/hp/Desktop/Revision/REACT, type=PREDICT}
Account{name=logs, path=C:/Users/hp/Desktop/Revision/REACT/.git/logs, type=PREDICT}
Account{name=objects, path=C:/Users/hp/Desktop/Revision/REACT/.git/objects, type=PREDICT}
Account{name=refs, path=C:/Users/hp/Desktop/Revision/REACT/.git/refs, type=PREDICT}
Account{name=App-Store, path=C:/Users/hp/Desktop/Revision/REACT/App-Store, type=PREDICT}
Account{name=remotes, path=C:/Users/hp/Desktop/Revision/REACT/.git/logs/refs/remotes, type=PREDICT}
2024-02-18 22:56:16.561 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.account.AccountManager - [client:40010105]load account manager finish
2024-02-18 22:56:16.563 [pool-3-thread-1] INFO  com.rs.mv.mvvs.instance.userspace.UserspaceManager - [framework:30010402]config file(C:\Users\hp/.rmv/config) watcher launch successful
2024-02-18 22:56:16.690 [main] WARN  com.rs.mv.mvvs.Startup - [LSP:100104]ROCKET MV BASIC EXTENSION exited
2024-02-18 22:56:29.972 [main] INFO  com.rs.mv.mvvs.Startup - [LSP:100101]ROCKET MV BASIC EXTENSION to start
2024-02-18 22:56:30.070 [main] INFO  com.rs.mv.mvvs.lsp.server.BasicLanguageServerLauncher - [LSP:100102]start pip server
2024-02-18 22:56:30.366 [main] INFO  com.rs.mv.mvvs.lsp.server.BasicLanguageServerLauncher - [LSP:100103]ROCKET MV BASIC EXTENSION start successful
